DATA DA VISTORIA,EMPRESA,EQUIPAMENTO,MODELO,PLACA,DATA RETORNO,SITUAÇÃO,STATUS,OBSERVACOES
2025-10-14,SERRA AZUL,ONIBUS,ONIBUS,TJH5J91,2025-11-13,APROVADO,🚨 VENCIDO,-
2025-10-15,OSPINANDELI AGRICOLA ,ESCAVADORA,ESCAVADORA,opcaec.230f3,2026-01-13,APROVADO,🚨 VENCIDO,-
2025-10-15,SERRA AZUL,ONIBUS,ONIBUS,PHF9B00,2025-11-14,APROVADO,🚨 VENCIDO,-
2025-10-20,RODRIGO AUTOELETRICA,CARRO,PICKUP,FYR0J56,2026-01-18,APROVADO,🚨 VENCIDO,-
2025-10-20,ADILSON CARLOS R MALTA,CARRO,CARRO,OPJ8954,2026-01-18,APROVADO,🚨 VENCIDO,-
2025-10-20,ADILSON CARLOS R MALTA,PÁ CARREGADORA,PÁ CARREGADORA,S/F,2026-01-18,APROVADO,🚨 VENCIDO,-
2025-10-22,HIDRO TREVO,CAMINHÃO,CAMINHAO,DRR5I54,2026-01-20,APROVADO,🚨 VENCIDO,-
2025-10-22,SERRA AZUL,ONIBUS,ONIBUS,BWQ9DI6,2025-11-21,APROVADO,🚨 VENCIDO,-
2025-10-23,LG TRANSPORTE ,ONIBUS,ONIBUS,GJG1C16,2025-11-22,APROVADO,🚨 VENCIDO,-
2025-10-23,AKT TRANSPORTE,CAMINHAO,CAMINHÃO,6107,2026-01-21,APROVADO,🚨 VENCIDO,-
2025-10-24,COSTA SAMPAIO,CAMINHAO,CAMINHAO,EZY9D39,2026-01-22,APROVADO,🚨 VENCIDO,-
2025-10-24,SERRA AZUL,ONIBUS,ONIBUS,6FI6D57,2025-11-23,APROVADO,🚨 VENCIDO,-
2025-10-25,TNX TRANSALVES,CAMINHAO,CAMINHAO,FXN0I92,2026-01-23,APROVADO,🚨 VENCIDO,-
2025-10-25,ARACYO S DAVERSI,CAMINHAO,CAMINHAO,BBZ9G81,2026-01-23,APROVADO,🚨 VENCIDO,-
2025-10-27,SERRA AZUL,ONIBUS,ONIBUS,FLI6I21,2025-11-26,APROVADO,🚨 VENCIDO,-
2025-10-27,SERRA AZUL,ONIBUS,ONIBUS,SVS9F97,2025-11-26,APROVADO,🚨 VENCIDO,-
2025-10-27,SERRA AZUL,ONIBUS,ONIBUS,FTV2B71,2025-11-26,APROVADO,🚨 VENCIDO,-
2025-11-10,SERRA AZUL,ONIBUS,ONIBUS,FTA9F37,2025-12-10,APROVADO,🚨 VENCIDO,-
2025-11-11,SERRA AZUL,ONIBUS,ONIBUS,TJH5J91,2025-12-11,APROVADO,🚨 VENCIDO,-
2025-11-18,MATHIAS LOCALIZAÇÃO ,ONIBUS,ONIBUS,BXD0H58,2025-12-18,APROVADO,🚨 VENCIDO,-
2025-11-18,SERRA AZUL,ONIBUS,ONIBUS,ENE4C26,2025-12-18,APROVADO,🚨 VENCIDO,-
2025-11-18,SERRA AZUL,ONIBUS,ONIBUS,GBW1I17,2025-12-18,APROVADO,🚨 VENCIDO,-
2025-11-19,MATHIAS LOCALIZAÇÃO ,ONIBUS,ONIBUS,BRQ4H74,2025-12-19,APROVADO,🚨 VENCIDO,-
2025-12-02,SERRA AZUL,ONIBUS,ONIBUS,FCL9E41,2026-01-01,APROVADO,🚨 VENCIDO,-
2025-12-08,SERRA AZUL,ONIBUS,ONIBUS,FTA9F37,2026-01-07,APROVADO,🚨 VENCIDO,-
2025-12-08,SERRA AZUL,ONIBUS,ONIBUS,FXK8467,2026-01-07,APROVADO,🚨 VENCIDO,-
2025-12-09,RG DE SOUZA LTDA,CARRO,CARRO,SLZ5D46,2026-03-09,APROVADO,🚨 VENCIDO,-
2025-12-09,SERRA AZUL,ONIBUS,ONIBUS,FTV2B71,2026-01-08,APROVADO,🚨 VENCIDO,-
2025-12-10,SERRAPILHA LOCAÇÃO,CARRO,CARRO,QUE3G30,2026-03-10,APROVADO,🚨 VENCIDO,-
2025-12-10,SERRA AZUL,ONIBUS,ONIBUS,FLI6I21,2026-01-09,APROVADO,🚨 VENCIDO,-
2025-12-12,SERRA AZUL,ONIBUS,ONIBUS,TJH5J91,2026-01-11,APROVADO,🚨 VENCIDO,-
2025-12-19,SERRA AZUL,ONIBUS,ONIBUS,FZZ1E22,2026-01-18,APROVADO,🚨 VENCIDO,-
2025-12-22,PARANAGUA,CAMINHONETE,CAMINHONETE,KAV1433,2026-03-22,REPROVADO,❌ PENDENTE,-
2025-12-29,SERRA AZUL,ONIBUS,ONIBUS,PHF9B00,2026-01-28,APROVADO,🚨 VENCIDO,-
2026-01-05,SERRA AZUL,ONIBUS,ONIBUS,SVS9F97,2026-02-04,APROVADO,🚨 VENCIDO,-
2026-01-05,SERRA AZUL,ONIBUS,ONIBUS,GHR2E74,2026-02-04,APROVADO,🚨 VENCIDO,-
2025-11-24,SERRA AZUL,ONIBUS,ONIBUS,BWQ916,2025-12-24,APROVADO,🚨 VENCIDO,-
2025-12-29,SERRA AZUL,ONIBUS,ONIBUS,SVS9F97,2026-01-28,APROVADO,🚨 VENCIDO,-
2026-01-08,CONTRAFIO,ONIBUS,ONIBUS,FNM0H13,2026-02-07,APROVADO,🚨 VENCIDO,-
2026-01-08,SERRA AZUL,ONIBUS,ONIBUS,FTA9F37,2026-02-07,APROVADO,🚨 VENCIDO,-
2026-01-08,SERRA AZUL,ONIBUS,ONIBUS,FTV2B71,2026-02-07,APROVADO,🚨 VENCIDO,-
2026-01-06,CONTRAFO,ONIBUS,ONIBUS,AB29209,2026-02-05,APROVADO,🚨 VENCIDO,-
2026-01-06,CONTRAFO,ONIBUS,ONIBUS,LNH7B99,2026-02-05,APROVADO,🚨 VENCIDO,-
2026-01-06,RUCAD ENGENHARIA,ONIBUS,ONIBUS,FJN6J89,2026-02-05,APROVADO,🚨 VENCIDO,-
2025-12-30,SERRA AZUL,ONIBUS,ONIBUS,FCL9E41,2026-01-29,APROVADO,🚨 VENCIDO,-
2025-12-18,SERRA AZUL,ONIBUS,ONIBUS,BZL3C28,2026-01-17,APROVADO,🚨 VENCIDO,-
2026-01-03,SERRA AZUL,ONIBUS,ONIBUS,EFI6D57,2026-02-02,APROVADO,🚨 VENCIDO,-
2026-01-07,CONTRAFO,ONIBUS,ONIBUS,KQN4C86,2026-02-06,APROVADO,🚨 VENCIDO,-
2026-01-07,CONTRAFO,ONIBUS,ONIBUS,BJJ5631,2026-02-06,APROVADO,🚨 VENCIDO,-
2025-12-17,SERRA AZUL,ONIBUS,ONIBUS,GBW1I17,2026-01-16,APROVADO,🚨 VENCIDO,-
2025-12-18,ANTONIO SOUZA,ONIBUS,ONIBUS,RWD8A64,2026-01-17,APROVADO,🚨 VENCIDO,-
2025-12-17,MATIAS MECANIZAÇÃO,ONIBUS,ONIBUS,HBZN621FPPAE15704,2026-01-16,APROVADO,🚨 VENCIDO,-
2025-12-17,SERAPILHA LOCAÇÃO ,ONIBUS,ONIBUS,HBZNW130JGAE08511,2026-01-16,APROVADO,🚨 VENCIDO,-
2025-12-19,MATIAS MECANIZAÇÃO,ONIBUS,ONIBUS,HBZN215CVMAA04545,2026-01-18,APROVADO,🚨 VENCIDO,-
2025-12-19,MATIAS MECANIZAÇÃO,ONIBUS,ONIBUS,NNAA05062,2026-01-18,APROVADO,🚨 VENCIDO,-
2025-12-19,JULIANA,ONIBUS,ONIBUS,BW99D16,2026-01-18,APROVADO,🚨 VENCIDO,-
2025-12-19,SERRA AZUL,ONIBUS,ONIBUS,ENE4C26,2026-01-18,APROVADO,🚨 VENCIDO,-
2025-12-19,FACCIOLI,ONIBUS,ONIBUS,FAC7B18,2026-01-18,APROVADO,🚨 VENCIDO,-
2025-12-16,SERAPILHA LOCAÇÃO ,ONIBUS,ONIBUS,FSMS825,2026-01-15,APROVADO,🚨 VENCIDO,-
2025-12-18,SERAPILHA LOCAÇÃO ,ONIBUS,ONIBUS,HBZN0865KLAF08259,2026-01-17,APROVADO,🚨 VENCIDO,-
2026-01-09,SERRA AZUL,ONIBUS,ONIBUS,TJH5J91,2026-02-08,APROVADO,🚨 VENCIDO,-
2026-01-13,NEW IRRIGAÇÃO,ONIBUS,ONIBUS,DSV3J05,2026-02-12,APROVADO,🚨 VENCIDO,-
2026-01-13,SERRA AZUL,ONIBUS,ONIBUS,FK8467,2026-02-12,APROVADO,🚨 VENCIDO,-
2026-01-13,SERRA AZUL,ONIBUS,ONIBUS,FLI6I21,2026-02-12,APROVADO,🚨 VENCIDO,-
2026-01-13,SERRA AZUL,ONIBUS,ONIBUS,BZL3C28,2026-02-12,APROVADO,🚨 VENCIDO,-
2026-01-13,SERRA AZUL,ONIBUS,ONIBUS,ENH8417,2026-02-12,APROVADO,🚨 VENCIDO,-
2026-01-13,CONTRAFIO,ONIBUS,ONIBUS,HSG2231,2026-02-12,APROVADO,🚨 VENCIDO,-
2026-01-14,AGRO PIVOT,ONIBUS,ONIBUS,VCE220DH00240133,2026-02-13,APROVADO,🚨 VENCIDO,-
2026-01-15,CONTRAFO,ONIBUS,ONIBUS,QAZ28E73,2026-02-14,APROVADO,🚨 VENCIDO,-
2026-01-15,AGRO PIVOT,ONIBUS,ONIBUS,VCEC2200JOO246779,2026-02-14,APROVADO,🚨 VENCIDO,-
2026-02-15,AGRO PIVOT,ONIBUS,ONIBUS,XUGO121IPPE11143,2026-03-17,APROVADO,🚨 VENCIDO,-
2026-01-19,CONTRAFO,ONIBUS,ONIBUS,HQG7A73,2026-02-18,APROVADO,🚨 VENCIDO,-
2026-01-19,CONTRAFO,ONIBUS,ONIBUS,HTQ8C25,2026-02-18,APROVADO,🚨 VENCIDO,-
2026-01-20,NEW IRRIGAÇÃO,ONIBUS,ONIBUS,TKE1J24,2026-02-19,APROVADO,🚨 VENCIDO,-
2026-01-20,CONTRAFO,ONIBUS,ONIBUS,OP8D90,2026-02-19,APROVADO,🚨 VENCIDO,-
2026-01-21,CONTRAFO,CAMINHÃO MUNCK,CAMINHÃO MUNCK,PFA0B58,2026-04-21,REPROVADO,❌ PENDENTE,-
2026-01-21,CONTRAFO,CAMINHÃO MUNCK,CAMINHÃO MUNCK,HOE8H62,2026-04-21,APROVADO,🚨 VENCIDO,-
2026-01-23,CONTRAFO,CARRO,GOL G4,ASS9B36,2026-04-23,APROVADO,🚨 VENCIDO,-
2026-01-23,RODRIGO AUTOELETRICA,CARRO,PICKUP,FOW0E55,2026-04-23,APROVADO,🚨 VENCIDO,-
2026-01-23,ANDRADE TRUCK,CARRO,CARRO,NRU5G10,2026-04-23,APROVADO,🚨 VENCIDO,-
2026-01-23,UNIAGRO,CARRO,GOL G6,BPO7G74,2026-04-23,APROVADO,🚨 VENCIDO,-
2026-01-26,UNIAGRO,CARRO,CARRO,FPC5916,2026-04-26,APROVADO,🚨 VENCIDO,-
2026-01-26,SERRA AZUL,ONIBUS,MICRO ONIBUS,GBW1I17,2026-02-25,APROVADO,🚨 VENCIDO,-
2026-01-27,CONTRAFO,CAMINHONETE,D20,GUE0300,2026-04-27,APROVADO,🚨 VENCIDO,-
2026-01-28,SERRA AZUL,ONIBUS,MICRO ONIBUS,FZZ1E22,2026-02-27,APROVADO,🚨 VENCIDO,-
2026-01-29,EDSON,CAMINHÃO MUNCK,CAMINHÃO MUNCK,HFJ6D68,2026-04-29,APROVADO,🚨 VENCIDO,-
2026-01-29,EDSON,CAMINHÃO MUNCK,CAMINHÃO MUNCK,OMQ6D40,2026-04-29,APROVADO,🚨 VENCIDO,-
