DATA DA VISTORIA,EMPRESA,EQUIPAMENTO,MODELO,PLACA,DATA RETORNO,SITUAÇÃO,STATUS,OBSERVACOES
2026-03-18,DANIEL,ONIBUS ,ONIBUS ,ENE4E26,2026-06-16,APROVADO,✅ NO PRAZO,-
2026-03-18,CAUÉ,CAMINHÃO,CAMINHÃO ,EEM9E98,2026-06-16,APROVADO,✅ NO PRAZO,-
2026-03-19,BATISTA,PICAPE ESTRADA,PICAPE ESTRADA,EYN5143,2026-06-17,APROVADO,✅ NO PRAZO,-
2026-03-19,DANIEL,ONIBUS,ONIBUS,GHR2E74,2026-04-18,APROVADO,🚨 VENCIDO,-
2026-03-19,DANIEL,ONIBUS ,ONIBUS,FTA9F37,2026-06-17,APROVADO,✅ NO PRAZO,-
2026-03-20,DANIEL,ONIBUS ,MICRO ONIBUS,FTV2B71,2026-06-18,APROVADO,✅ NO PRAZO,-
2026-03-26,SAMUEL,CAMINHÃO,MUNCK,REL7B41,2026-06-24,APROVADO,✅ NO PRAZO,-
2026-03-28,NEW IRRIGAÇÃO,CAMINHÃO ,MUNCK,DSV3J05,2026-06-26,APROVADO,✅ NO PRAZO,-
2026-03-28,AGRO PIVOT,SCAVADEIRA ,EC220D,XVCEC220DH00240133,2026-06-26,APROVADO,✅ NO PRAZO,-
2026-03-28,LOENEW,SCAVADEIRA ,PC,1F9210GXTLD521657,2026-06-26,APROVADO,✅ NO PRAZO,-
2026-03-31,OSMANDO,CAMINHÃO,MUNCK,TKE1J24,2026-06-29,APROVADO,✅ NO PRAZO,-
2026-03-31,DANIEL,VAM,VAM ,FXK8467,2026-06-29,APROVADO,✅ NO PRAZO,-
2026-04-06,SPIRANDELI,PA ,CARREGADEIRA,72047,2026-07-05,APROVADO,✅ NO PRAZO,-
2026-04-06,SPIRANDELI,PATROL,PATROL ,1BZ620GALND000627,2026-07-05,APROVADO,✅ NO PRAZO,-
2026-04-08,DANIEL,ONIBUS,MICRO ONIBUS,PHD2E50,2026-05-08,APROVADO,🚨 VENCIDO,-
2026-04-08,SPIRANDELI,CAMINHÃO,CAMINHÃO,HQM6613,2026-07-07,APROVADO,✅ NO PRAZO,-
2026-04-09,SERRA AZUL,ONIBUS ,ONIBUS ,IB2L3C28,2026-07-08,APROVADO,✅ NO PRAZO,-
2026-04-10,SERRA AZUL,ONIBUS ,ONIBUS ,SVS9F97,2026-07-09,REPROVADO,❌ PENDENTE,-
2026-04-14,SERRA AZUL,ONIBUS ,ONIBUS ,EJV3E03,2026-07-13,APROVADO,✅ NO PRAZO,-
2026-04-15,SERRA AZUL,ONIBUS,ONIBUS ,PHF9B00,2026-05-15,REPROVADO,❌ PENDENTE,-
2026-04-17,SERRA AZUL,ONIBUS ,MICRO ONIBUS,FTV2B71,2026-07-16,APROVADO,✅ NO PRAZO,-
2026-04-17,SERRA AZUL,ONIBUS ,ONIBUS,SVS9F97,2026-07-16,APROVADO,✅ NO PRAZO,-
